Prot_1,Prot_2
SP1,STAT3
AKT1,PIK3CA
AKT1,FOXO1
AKT1,NOTCH1
ITCH,NOTCH1
ITCH,CXCR4
IL6R,IL6
STAT6,STAT3
STAT6,IRF4
ICOS,ICOSLG
IL21,IL21R
BCL6,IRF4
BCL6,REL
BCL6,ZBTB17
BCL6,BCL11A
NR4A1,STAT3
IRF1,STAT3
NOTCH1,NFKB1
ZNF557,STAT3
ATF4,BATF
ATF4,MAF
IL2,IL2RA
REL,IRF4
LEF1,EGR1
ETS1,FOXO1
SATB1,FOXO1
JUN,BATF
BATF,JUNB
BATF,JUND
BATF,IRF4
RELA,STAT3
RELA,IRF4
MAF,AHR
HIF1A,STAT3
IFNG,IFNGR2
IFNG,IFNGR1
NFATC2,IRF4
STAT5B,STAT5A
STAT5A,PPARG
IRF4,SPIB
DNMT1,STAT3
IFNGR1,STAT1
IFNGR1,IFNGR2
ATF3,STAT3
NR3C1,STAT3
STAT3,ZNF281
STAT3,STAT1
